iter	Passed	Remaining
400	20232	4995
401	20273	4942
402	20329	4893
403	20379	4842
404	20433	4792
405	20484	4742
406	20533	4691
407	20584	4641
408	20644	4593
409	20695	4542
410	20752	4493
411	20806	4444
412	20850	4392
413	20903	4342
414	20943	4289
415	20998	4239
416	21053	4190
417	21107	4140
418	21161	4090
419	21213	4040
420	21272	3991
421	21325	3941
422	21377	3891
423	21422	3839
424	21468	3788
425	21518	3737
426	21575	3688
427	21629	3638
428	21678	3587
429	21741	3539
430	21786	3487
431	21835	3437
432	21891	3387
433	21949	3337
434	21998	3287
435	22051	3236
436	22099	3185
437	22154	3136
438	22217	3087
439	22274	3037
440	22321	2986
441	22379	2936
442	22430	2886
443	22484	2835
444	22538	2785
445	22590	2735
446	22644	2684
447	22699	2634
448	22748	2583
449	22798	2533
450	22853	2482
451	22904	2432
452	22949	2381
453	22999	2330
454	23055	2280
455	23100	2229
456	23158	2178
457	23214	2128
458	23272	2078
459	23328	2028
460	23384	1978
461	23444	1928
462	23484	1876
463	23540	1826
464	23597	1776
465	23644	1725
466	23703	1674
467	23746	1623
468	23799	1573
469	23852	1522
470	23903	1471
471	23952	1420
472	24000	1370
473	24046	1319
474	24096	1268
475	24152	1217
476	24208	1167
477	24259	1116
478	24319	1066
479	24370	1015
480	24423	964
481	24469	913
482	24522	863
483	24571	812
484	24620	761
485	24674	710
486	24724	659
487	24781	609
488	24828	558
489	24872	507
490	24922	456
491	24979	406
492	25031	355
493	25087	304
494	25133	253
495	25187	203
496	25238	152
497	25289	101
498	25342	50
499	25397	0
